IssueType,EpicName,Summary,EpicLink,Description,Status
Story,Core Application Functionality,Implement Dashboard Views,Core Application Functionality,"Create dynamic and user-friendly dashboard views to display emissions data, analytics, and personalized information.",Open
Task,Core Application Functionality,Fetch data for total emissions widget,Implement Dashboard Views,"Retrieve and display data for the total emissions widget on the dashboard, ensuring accuracy and timeliness.",Open
Task,Core Application Functionality,Display live emissions data feed,Implement Dashboard Views,"Implement a live feed on the dashboard to show real-time emissions data, enhancing user engagement and awareness.",Open
Task,Core Application Functionality,Visualize Scope 1 and 2 analytics,Implement Dashboard Views,"Create visualizations for Scope 1 and 2 emissions analytics, providing insightful and actionable data representation.",Open
Task,Core Application Functionality,Allow filtering by date ranges,Implement Dashboard Views,"Develop a feature to filter emissions data by various date ranges, enabling users to view specific timeframes.",Open
Task,Core Application Functionality,Integrate charting libraries for graphs,Implement Dashboard Views,Incorporate charting libraries to generate interactive and informative graphs for emissions data on the dashboard.,Open
Task,Core Application Functionality,Build user-specific dashboard layout,Implement Dashboard Views,Design a customizable dashboard layout that adapts to individual user preferences and needs.,Open
Task,Core Application Functionality,Add customization options for users,Implement Dashboard Views,"Develop options for users to customize their dashboard view, including widget selection and layout preferences.",Open
Task,Core Application Functionality,Conduct user testing for dashboard usability,Implement Dashboard Views,"Perform user testing to gather feedback on the dashboard's usability, effectiveness, and user experience.",Open
Story,Core Application Functionality,Develop Emission Tracking System,Core Application Functionality,"Build a system for real-time emission tracking, categorizing data sources, and persisting metrics to the database.",Open
Task,Core Application Functionality,"Ingest data sources - APIs, CSVs",Develop Emission Tracking System,"Implement data ingestion from various sources like APIs and CSV files, ensuring reliable and efficient data collection.",Open
Task,Core Application Functionality,Transform & validate ingested data,Develop Emission Tracking System,Process and validate the ingested emissions data to ensure accuracy and consistency before storage.,Open
Task,Core Application Functionality,Categorize emissions by source,Develop Emission Tracking System,"Organize the emissions data into categories based on their sources, aiding in analysis and reporting.",Open
Task,Core Application Functionality,Persist aggregated metrics to database,Develop Emission Tracking System,"Store the processed and categorized emissions data in the database, ensuring data integrity and accessibility.",Open
Task,Core Application Functionality,Expose GET endpoints for emission data,Develop Emission Tracking System,"Create API endpoints to retrieve emission data, providing access to the stored information for various purposes.",Open
Task,Core Application Functionality,Display categorized metrics on frontend,Develop Emission Tracking System,"Show the categorized emissions data on the frontend, enabling users to view and interact with the information.",Open
Task,Core Application Functionality,Detect anomalies in emission streams,Develop Emission Tracking System,"Implement anomaly detection in the emission data streams, identifying irregular patterns or unusual data points.",Open
Task,Core Application Functionality,Implement a feedback mechanism for continuous improvement,Develop Emission Tracking System,"Establish a system to gather and incorporate user feedback, continually enhancing the emission tracking system.",Open
Story,Core Application Functionality,Add Planning Capabilities,Core Application Functionality,"Enable users to set emission goals, plan reduction activities, and track progress towards sustainability targets.",Open
Task,Core Application Functionality,Allow users to set emission goals,Add Planning Capabilities,"Develop functionality for users to set and manage their emission reduction goals, aligning with organizational objectives.",Open
Task,Core Application Functionality,Capture planned reduction activities,Add Planning Capabilities,Create features for users to input and track planned activities aimed at reducing emissions.,Open
Task,Core Application Functionality,Calculate progress towards targets,Add Planning Capabilities,Implement tools to calculate and display the progress made towards achieving set emission reduction targets.,Open
Task,Core Application Functionality,Forecast future emissions,Add Planning Capabilities,Develop forecasting capabilities to predict future emissions based on current data and trends.,Open
Task,Core Application Functionality,Run what-if projections,Add Planning Capabilities,"Create a feature for running what-if scenarios, helping users explore potential outcomes of different actions.",Open
Task,Core Application Functionality,Provide recommended mitigations,Add Planning Capabilities,"Offer recommendations for emission reduction based on data analysis, assisting users in making informed decisions.",Open
Task,Core Application Functionality,Enhance user interface for planning features,Add Planning Capabilities,"Design an intuitive and user-friendly interface for the planning tools, ensuring ease of use and engagement.",Open
Task,Core Application Functionality,Gather user feedback on planning tools,Add Planning Capabilities,Collect user feedback on the planning features to identify areas for improvement and user needs.,Open
Task,Core Application Functionality,Conduct thorough testing and quality assurance,Implement Dashboard Views,"Conduct thorough testing and quality assurance for the implementation of dashboard views, focusing on user experience and data accuracy.",Open
Task,Core Application Functionality,Conduct thorough testing and quality assurance,Develop Emission Tracking System,"Ensure rigorous testing and quality assurance for the emission tracking system, emphasizing data integrity and real-time performance.",Open
Task,Core Application Functionality,Regularly update documentation to reflect current state,Implement Dashboard Views,"Keep the documentation for dashboard implementation current, detailing user interface design and functionalities.",Open
Task,Core Application Functionality,Regularly update documentation to reflect current state,Develop Emission Tracking System,"Update documentation consistently for the emission tracking system, covering data sources, processing, and display methods.",Open
Task,Core Application Functionality,Establish a user feedback loop for continuous product improvement,Implement Dashboard Views,Create a system for collecting and integrating user feedback for ongoing improvement of dashboard views.,Open
Task,Core Application Functionality,Establish a user feedback loop for continuous product improvement,Develop Emission Tracking System,Develop a feedback loop for the emission tracking system to gather user insights and suggestions for continuous enhancements.,Open
Story,Enterprise Functionality,Implement Multi-tenancy,Enterprise Functionality,Design and execute a multi-tenant architecture to support different client environments securely and efficiently.,Open
Task,Enterprise Functionality,Architect tenant schema in database,Implement Multi-tenancy,"Develop a database schema that supports multi-tenancy, ensuring data isolation and scalability.",Open
Task,Enterprise Functionality,Isolate tenant data,Implement Multi-tenancy,Ensure that data for each tenant is isolated to maintain privacy and security.,Open
Task,Enterprise Functionality,Add tenant ID to requests,Implement Multi-tenancy,"Modify API requests to include tenant identification, ensuring data scope is restricted to the relevant tenant.",Open
Task,Enterprise Functionality,Scope API data queries by tenant,Implement Multi-tenancy,"Adjust API queries to filter data based on tenant ID, ensuring accurate data retrieval for multi-tenant environment.",Open
Task,Enterprise Functionality,Build tenant registration workflow,Implement Multi-tenancy,Create a workflow for new tenants to register and set up their unique environment.,Open
